epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2380.72,1.75029,1.35034,1.11792,0.3136,0.20368,0.20907,0.07836,2.38532,1.62727,1.40415,0.000676802,0.000676802,0.000676802
98,2403.73,1.71676,1.34437,1.10698,0.33375,0.1902,0.20502,0.07552,2.40064,1.65644,1.4403,0.000666487,0.000666487,0.000666487
99,2427.87,1.74101,1.4191,1.09298,0.35753,0.19474,0.22477,0.08643,2.36078,1.59569,1.41717,0.000656173,0.000656173,0.000656173
100,2451.86,1.74358,1.36472,1.10478,0.32948,0.21053,0.21739,0.0846,2.3195,1.54723,1.3899,0.000645858,0.000645858,0.000645858
101,2475.21,1.73459,1.27746,1.07485,0.27649,0.21579,0.18851,0.0779,2.32063,1.59389,1.39726,0.000635544,0.000635544,0.000635544
102,2498.23,1.6851,1.26997,1.08031,0.2604,0.2,0.19034,0.07289,2.35949,1.66892,1.41244,0.000625229,0.000625229,0.000625229
103,2522.7,1.84162,1.38148,1.12059,0.37481,0.18909,0.21572,0.08663,2.31322,1.62535,1.41094,0.000614915,0.000614915,0.000614915
104,2546.75,1.73422,1.31011,1.1107,0.32334,0.20233,0.20957,0.0819,2.36332,1.6636,1.42484,0.0006046,0.0006046,0.0006046
105,2571.17,1.66419,1.28275,1.10938,0.31767,0.17895,0.1863,0.07332,2.34968,1.78632,1.40055,0.000594286,0.000594286,0.000594286
106,2598.55,1.68224,1.31137,1.1002,0.24047,0.22632,0.19741,0.07554,2.35797,1.64658,1.40701,0.000583971,0.000583971,0.000583971
107,2623.36,1.7136,1.2934,1.09889,0.30988,0.21579,0.22458,0.08373,2.4409,1.59265,1.43369,0.000573656,0.000573656,0.000573656
108,2647.7,1.64987,1.23138,1.07487,0.33553,0.18421,0.20243,0.08123,2.35272,1.57157,1.41472,0.000563342,0.000563342,0.000563342
109,2671.55,1.68403,1.23577,1.076,0.30769,0.18947,0.19676,0.07814,2.36494,1.56689,1.42255,0.000553027,0.000553027,0.000553027
110,2698.06,1.71532,1.30401,1.09833,0.34309,0.2,0.20311,0.08089,2.34296,1.5753,1.43063,0.000542713,0.000542713,0.000542713
111,2725.1,1.62484,1.27492,1.07247,0.34555,0.18842,0.20792,0.07776,2.40725,1.60262,1.4292,0.000532398,0.000532398,0.000532398
112,2748.84,1.7454,1.29131,1.11532,0.27928,0.24737,0.22537,0.09177,2.30155,1.55787,1.40767,0.000522084,0.000522084,0.000522084
113,2773.7,1.69874,1.29847,1.0814,0.30841,0.22105,0.21963,0.08619,2.31451,1.61577,1.39843,0.000511769,0.000511769,0.000511769
114,2798.03,1.61341,1.21407,1.06848,0.29034,0.22632,0.21235,0.07928,2.34623,1.63976,1.4002,0.000501454,0.000501454,0.000501454
115,2823.89,1.65564,1.24959,1.09337,0.29308,0.22366,0.20557,0.07508,2.37849,1.57623,1.43187,0.00049114,0.00049114,0.00049114
116,2847.87,1.65743,1.2385,1.0771,0.31042,0.22409,0.21589,0.08102,2.35817,1.55723,1.42914,0.000480825,0.000480825,0.000480825
117,2871.6,1.6405,1.19699,1.0706,0.30182,0.22632,0.22113,0.08323,2.32547,1.55758,1.44187,0.000470511,0.000470511,0.000470511
118,2895.31,1.6695,1.2825,1.08637,0.33625,0.23684,0.22737,0.08463,2.38802,1.59136,1.46034,0.000460196,0.000460196,0.000460196
119,2922.27,1.67077,1.24166,1.06792,0.29516,0.23512,0.21739,0.08331,2.38689,1.61404,1.43887,0.000449882,0.000449882,0.000449882
120,2946.42,1.72757,1.29797,1.10665,0.28121,0.22326,0.21871,0.08594,2.33069,1.57165,1.4341,0.000439567,0.000439567,0.000439567
121,2970.51,1.59949,1.18063,1.06129,0.29107,0.22105,0.21659,0.07998,2.40352,1.58785,1.4584,0.000429253,0.000429253,0.000429253
122,2994.94,1.62983,1.23886,1.06509,0.2864,0.22632,0.21351,0.07717,2.4274,1.6,1.4684,0.000418938,0.000418938,0.000418938
123,3019.22,1.71851,1.30032,1.07764,0.32718,0.21579,0.22086,0.08148,2.39156,1.59545,1.4604,0.000408623,0.000408623,0.000408623
124,3043.79,1.64524,1.2107,1.07794,0.29865,0.21579,0.20773,0.07881,2.38207,1.6134,1.46696,0.000398309,0.000398309,0.000398309
125,3067.83,1.64709,1.29091,1.08306,0.31501,0.22105,0.20944,0.07539,2.3911,1.63799,1.4318,0.000387994,0.000387994,0.000387994
126,3091.93,1.68915,1.21472,1.08175,0.3218,0.2,0.21462,0.07806,2.37957,1.60319,1.38723,0.00037768,0.00037768,0.00037768
127,3116.07,1.61306,1.16604,1.08636,0.35632,0.2,0.22732,0.08604,2.31017,1.53892,1.39516,0.000367365,0.000367365,0.000367365
128,3140.02,1.6912,1.25414,1.10133,0.33512,0.2,0.21848,0.08479,2.2903,1.53479,1.42493,0.000357051,0.000357051,0.000357051
129,3163.51,1.60086,1.18034,1.05313,0.28985,0.2,0.21803,0.07813,2.39851,1.57242,1.4521,0.000346736,0.000346736,0.000346736
130,3187.72,1.63134,1.22346,1.0784,0.2843,0.21053,0.22096,0.08399,2.37822,1.51609,1.44927,0.000336421,0.000336421,0.000336421
131,3211.07,1.61665,1.21196,1.07649,0.36593,0.18947,0.22412,0.08715,2.35595,1.55198,1.4355,0.000326107,0.000326107,0.000326107
132,3234.27,1.59988,1.14462,1.0615,0.30706,0.21053,0.22275,0.07732,2.36683,1.58993,1.40283,0.000315792,0.000315792,0.000315792
133,3258.26,1.68849,1.22527,1.06814,0.30336,0.21053,0.22047,0.07699,2.35827,1.6345,1.39717,0.000305478,0.000305478,0.000305478
134,3281.59,1.58111,1.15367,1.06582,0.27467,0.24211,0.22593,0.08739,2.27985,1.57119,1.42127,0.000295163,0.000295163,0.000295163
